0.00	4.00 
44.13	4.00 
55.16	3.86 
66.19	4.00 
129.63	4.00 
137.90	3.88 
146.18	3.73 
154.45	3.59 
162.73	3.45 
168.24	3.33 
173.76	3.20 
179.28	3.14 
187.55	3.08 
195.82	3.06 
204.10	3.02 
209.61	2.98 
215.13	2.94 
223.40	2.92 
228.92	2.96 
234.44	3.00 
237.19	3.04 
239.95	3.10 
245.47	3.12 
250.99	3.12 
253.74	3.10 
259.26	3.02 
262.02	2.98 
264.78	2.92 
270.29	2.90 
273.05	2.92 
275.81	2.96 
281.32	3.02 
281.32	3.06 
284.08	3.16 
286.84	3.29 
289.60	3.37 
289.60	3.47 
292.36	3.59 
295.11	3.67 
297.87	3.69 
300.63	3.76 
308.90	3.78 
311.66	3.76 
317.18	3.71 
322.70	3.67 
325.45	3.63 
333.73	3.59 
342.00	3.59 
350.28	3.59 
358.55	3.55 
364.07	3.51 
375.10	3.45 
380.61	3.43 
388.89	3.41 
397.16	3.43 
399.92	3.47 
405.44	3.51 
408.20	3.55 
413.71	3.61 
419.23	3.65 
424.74	3.65 
430.26	3.63 
438.53	3.61 
446.81	3.59 
452.32	3.61 
457.84	3.63 
466.12	3.65 
468.87	3.71 
471.63	3.80 
474.39	3.86 
477.15	3.88 
485.42	3.92 
488.18	3.96 
490.94	3.98 
496.45	3.96 
501.97	3.92 
504.73	3.84 
510.24	3.78 
510.24	3.63 
513.00	3.53 
518.52	3.41 
521.28	3.27 
526.79	2.86 
529.55	2.63 
532.31	2.45 
535.07	2.31 
537.83	2.20 
540.58	2.10 
543.34	2.02 
546.10	1.94 
551.62	1.86 
557.13	1.88 
562.65	1.94 
565.41	2.04 
568.16	2.16 
568.16	2.29 
568.16	2.37 
573.68	2.55 
576.44	2.65 
581.95	2.80 
584.71	2.88 
584.71	2.96 
590.23	3.04 
595.74	3.04 
601.26	3.00 
604.02	2.92 
606.78	2.84 
609.54	2.78 
612.29	2.69 
617.81	2.63 
620.57	2.49 
623.33	2.43 
628.84	2.35 
631.60	2.31 
637.12	2.27 
645.39	2.27 
650.91	2.35 
653.66	2.41 
661.94	2.49 
667.45	2.65 
670.21	2.73 
675.73	2.84 
681.25	2.92 
684.00	3.00 
689.52	3.02 
714.34	3.02 
733.65	3.06 
747.44	3.12 
758.47	3.18 
763.99	3.29 
769.50	3.37 
772.26	3.51 
780.54	3.63 
783.29	3.80 
786.05	3.92 
786.05	3.98 
788.81	4.00 
813.63	4.00 
821.91	3.78 
830.18	3.51 
841.21	3.22 
852.25	3.10 
860.52	2.92 
863.28	2.88 
868.79	2.69 
874.31	2.55 
879.83	2.41 
885.34	2.24 
890.86	2.04 
896.38	1.96 
904.65	1.86 
910.17	1.82 
915.68	1.80 
923.96	1.84 
937.75	1.94 
946.02	2.02 
957.05	2.12 
962.57	2.16 
973.60	2.20 
984.63	2.24 
990.15	2.29 
998.42	2.45 
1001.18	2.61 
1001.18	2.78 
1006.70	2.90 
1014.97	3.10 
1017.73	3.18 
1023.25	3.20 
1028.76	3.14 
1034.28	3.06 
1042.55	2.88 
1045.31	2.78 
1048.07	2.67 
1056.34	2.55 
1059.10	2.47 
1067.38	2.39 
1072.89	2.35 
1078.41	2.35 
1086.68	2.37 
1094.96	2.41 
1100.47	2.47 
1105.99	2.57 
1111.51	2.63 
1114.26	2.69 
1119.78	2.78 
1125.30	2.84 
1128.05	2.88 
1133.57	2.90 
1141.84	2.90 
1158.39	2.82 
1172.18	2.76 
1183.22	2.76 
1191.49	2.69 
1194.25	2.57 
1202.52	2.51 
