t	X_sc	U	Y_z_pred	Y_u_sc
240	-0.2017776072025299,-1.2341351509094238,-2.22991681098938,-3.0108144283294678,-3.1927802562713623	4.06,0.03750000000000009,4.0	-18.166080117225647,-122.22480773925781,-223.08311462402344,-301.69103145599365,-320.0705051422119	1.2223389148712158,1.19119393825531,1.1600455045700073,0.8921310901641846,0.4230608344078064
240	-0.18166080117225647,-1.2222480773925781,-2.2308311462402344,-3.0169103145599365,-3.200705051422119	4.21,0.03499999999999992,3.7653289262326135	-16.154399514198303,-120.70080041885376,-222.5954532623291,-302.48351097106934,-319.39992904663086	1.2293444871902466,1.2016749382019043,1.165653109550476,0.9026841521263123,0.3960687518119812
240	-0.16154399514198303,-1.2070080041885376,-2.225954532623291,-3.0248351097106934,-3.1939992904663086	4.35,-0.0024999999999999467,3.7958086307053547	-15.575279295444489,-118.99392604827881,-221.8334436416626,-302.05678939819336,-319.76568698883057	1.2170683145523071,1.2147008180618286,1.17948317527771,0.886306643486023,0.40050312876701355
240	-0.15575279295444489,-1.189939260482788,-2.218334436416626,-3.0205678939819336,-3.1976568698883057	4.34,-0.01750000000000007,3.7361042846799464	-15.849599242210388,-117.5918459892273,-220.64471244812012,-301.9653558731079,-319.46089267730713	1.2017921209335327,1.2150686979293823,1.190629243850708,0.899334192276001,0.39321017265319824
240	-0.15849599242210388,-1.175918459892273,-2.206447124481201,-3.019653558731079,-3.1946089267730713	4.27,-0.01749999999999985,3.806041337527332	-16.550639271736145,-116.89079999923706,-219.3645715713501,-301.29480361938477,-319.64378356933594	1.1931861639022827,1.2110176086425781,1.200168251991272,0.9019372463226318,0.4011654257774353
240	-0.16550639271736145,-1.1689079999923706,-2.193645715713501,-3.0129480361938477,-3.1964378356933594	4.2,-0.01750000000000007,3.8606761753608905	-17.373600602149963,-116.73840284347534,-218.2368040084839,-300.71568489074707,-319.64378356933594	1.1863117218017578,1.2041555643081665,1.2026054859161377,0.9171894192695618,0.4069626033306122
240	-0.17373600602149963,-1.1673840284347534,-2.182368040084839,-3.0071568489074707,-3.1964378356933594	4.13,-0.01750000000000007,3.9564588936976057	-18.28800141811371,-116.95176362991333,-217.50528812408447,-300.045108795166,-319.76568698883057	1.180668830871582,1.197468876838684,1.2015093564987183,0.9276859164237976,0.4173840582370758
240	-0.18288001418113708,-1.1695176362991333,-2.1750528812408447,-3.00045108795166,-3.1976568698883057	4.06,-0.01749999999999985,4.0	-19.23287957906723,-117.43943691253662,-217.10903644561768,-299.64890480041504,-319.5523262023926	1.1752859354019165,1.1909310817718506,1.196946382522583,0.939807116985321,0.42130473256111145
240	-0.1923287957906723,-1.1743943691253662,-2.1710903644561768,-2.9964890480041504,-3.195523262023926	3.99,-0.010000000000000009,4.0	-19.933919608592987,-118.11000108718872,-217.0480728149414,-299.3440866470337,-319.00367736816406	1.1747013330459595,1.1849653720855713,1.1914812326431274,0.9453461170196533,0.4194573163986206
240	-0.19933919608592987,-1.1811000108718872,-2.170480728149414,-2.993440866470337,-3.1900367736816406	3.95,-0.0050000000000000044,4.0	-20.39112150669098,-118.78056526184082,-217.2614336013794,-299.0088224411011,-318.3940887451172	1.1761070489883423,1.180749773979187,1.1862632036209106,0.9429817199707031,0.4174190163612366
240	-0.2039112150669098,-1.1878056526184082,-2.172614336013794,-2.9900882244110107,-3.183940887451172	3.93,-0.0050000000000000044,4.0	-20.756879448890686,-119.39016580581665,-217.68817901611328,-298.764967918396,-317.7844762802124	1.1760213375091553,1.179114580154419,1.1818991899490356,0.93775874376297,0.41539549827575684
240	-0.20756879448890686,-1.1939016580581665,-2.176881790161133,-2.98764967918396,-3.177844762802124	3.91,-0.0050000000000000044,4.0	-21.092160046100616,-119.90832090377808,-218.17584037780762,-298.5820770263672,-317.2358512878418	1.1754248142242432,1.1780743598937988,1.1785508394241333,0.9304479956626892,0.4135870337486267
240	-0.21092160046100616,-1.1990832090377808,-2.181758403778076,-2.985820770263672,-3.172358512878418	3.89,-0.007500000000000062,4.0	-21.48839980363846,-120.33504247665405,-218.66352558135986,-298.49064350128174,-316.8091297149658	1.172761082649231,1.1768003702163696,1.1757732629776,0.9226825833320618,0.4121886193752289
240	-0.21488399803638458,-1.2033504247665405,-2.1866352558135986,-2.9849064350128174,-3.168091297149658	3.86,-0.0050000000000000044,4.0	-21.82368040084839,-120.76176404953003,-219.1512107849121,-298.46014976501465,-316.53480529785156	1.1721198558807373,1.1756736040115356,1.1739373207092285,0.9154057502746582,0.41129347681999207
240	-0.2182368040084839,-1.2076176404953003,-2.191512107849121,-2.9846014976501465,-3.1653480529785156	3.84,-0.007499999999999951,4.0	-22.21992015838623,-121.15800380706787,-219.5779323577881,-298.49064350128174,-316.38240814208984	1.1693799495697021,1.17444908618927,1.1718904972076416,0.9089425802230835,0.4107973575592041
240	-0.2221992015838623,-1.2115800380706787,-2.195779323577881,-2.9849064350128174,-3.1638240814208984	3.81,-0.007500000000000062,4.0	-22.64663875102997,-121.55424356460571,-220.00463008880615,-298.5820770263672,-316.35191440582275	1.167090892791748,1.172758936882019,1.170352816581726,0.9039042592048645,0.4106982350349426
240	-0.22646638751029968,-1.2155424356460571,-2.2000463008880615,-2.985820770263672,-3.1635191440582275	3.78,-0.0050000000000000044,4.0	-22.981920838356018,-121.95048332214355,-220.40088176727295,-298.7344741821289,-316.412878036499	1.1663700342178345,1.1706863641738892,1.1684489250183105,0.8998717665672302,0.4108964502811432
240	-0.22981920838356018,-1.2195048332214355,-2.2040088176727295,-2.987344741821289,-3.1641287803649902	3.76,-0.007499999999999951,4.0	-23.408640921115875,-122.31624126434326,-220.79710960388184,-298.9478349685669,-316.59576892852783	1.164001226425171,1.1688989400863647,1.1664470434188843,0.8966894149780273,0.41149210929870605
240	-0.23408640921115875,-1.2231624126434326,-2.2079710960388184,-2.989478349685669,-3.1659576892852783	3.73,-0.007499999999999951,4.0	-23.835361003875732,-122.7124810218811,-221.19336128234863,-299.191689491272,-316.8700695037842	1.1615843772888184,1.167199730873108,1.1647570133209229,0.8939217329025269,0.4123879373073578
