t	X_sc	U	Y_z_pred	Y_u_sc
240	-0.2807208001613617,-1.2697967290878296,-2.258263111114502,-3.0403802394866943,-3.2055816650390625	3.41,-0.007500000000000062,3.5727281011913132	-28.46831977367401,-127.3759126663208,-226.10065937042236,-304.19039726257324,-320.4667329788208	1.133940577507019,1.1420700550079346,1.1425760984420776,0.8660998344421387,0.3791050612926483
240	-0.2846831977367401,-1.273759126663208,-2.2610065937042236,-3.0419039726257324,-3.204667329788208	3.38,-0.0050000000000000044,3.558328132211189	-28.834080696105957,-127.7721643447876,-226.43592357635498,-304.2818307876587,-320.40576934814453	1.1332708597183228,1.1390129327774048,1.140362024307251,0.8619096875190735,0.37732845544815063
240	-0.28834080696105957,-1.277721643447876,-2.26435923576355,-3.042818307876587,-3.2040576934814453	3.36,-0.007499999999999951,3.560990966179937	-29.2303204536438,-128.16840410232544,-226.8016815185547,-304.37328815460205,-320.49720287323	1.1296842098236084,1.136999249458313,1.1379941701889038,0.8573833703994751,0.37792453169822693
240	-0.292303204536438,-1.2816840410232544,-2.268016815185547,-3.0437328815460205,-3.2049720287323	3.33,0.0024999999999999467,3.5283016839774133	-29.29128110408783,-128.56464385986328,-227.1674394607544,-304.61714267730713,-320.4362392425537	1.1341041326522827,1.134009599685669,1.1351404190063477,0.856087863445282,0.3742384910583496
240	-0.2929128110408783,-1.2856464385986328,-2.271674394607544,-3.0461714267730713,-3.204362392425537	3.34,0.020000000000000018,3.513122528955919	-28.559759259223938,-128.86945009231567,-227.5636911392212,-304.73904609680176,-320.4667329788208	1.1489293575286865,1.1331522464752197,1.1327487230300903,0.8503989577293396,0.3727388381958008
240	-0.2855975925922394,-1.2886945009231567,-2.275636911392212,-3.0473904609680176,-3.204667329788208	3.42,0.022499999999999964,3.4904095588306205	-27.492961287498474,-128.86945009231567,-227.9294490814209,-304.95240688323975,-320.49720287323	1.1610305309295654,1.1381648778915405,1.1306202411651611,0.8468798398971558,0.37038952112197876
240	-0.27492961287498474,-1.2886945009231567,-2.279294490814209,-3.0495240688323975,-3.2049720287323	3.51,0.020000000000000018,3.43944066213984	-26.395681500434875,-128.4122347831726,-228.17327976226807,-305.1962375640869,-320.3143119812012	1.168858289718628,1.1460477113723755,1.129827618598938,0.8441677689552307,0.36444005370140076
240	-0.26395681500434875,-1.284122347831726,-2.2817327976226807,-3.051962375640869,-3.2031431198120117	3.59,0.022500000000000075,3.452764134895691	-25.20696222782135,-127.71120071411133,-228.23424339294434,-305.1962375640869,-320.49720287323	1.1779875755310059,1.1553841829299927,1.1343344449996948,0.8359639644622803,0.3664625883102417
240	-0.2520696222782135,-1.2771120071411133,-2.2823424339294434,-3.051962375640869,-3.2049720287323	3.68,0.019999999999999907,3.413757954903599	-24.048718810081482,-126.7967939376831,-227.95991897583008,-305.4096221923828,-320.4362392425537	1.1840101480484009,1.1636886596679688,1.139251708984375,0.8383150696754456,0.36214596033096313
240	-0.24048718810081482,-1.267967939376831,-2.279599189758301,-3.054096221923828,-3.204362392425537	3.76,0.015000000000000013,3.4185953152448203	-23.073361814022064,-125.76048374176025,-227.44176387786865,-305.28767108917236,-320.55816650390625	1.186524748802185,1.1718013286590576,1.1462507247924805,0.8364590406417847,0.3630323112010956
240	-0.23073361814022064,-1.2576048374176025,-2.2744176387786865,-3.0528767108917236,-3.2055816650390625	3.82,-0.012499999999999956,3.4082396192863973	-23.16479980945587,-124.72416162490845,-226.74071788787842,-305.1962375640869,-320.52767276763916	1.1724618673324585,1.1778240203857422,1.154288411140442,0.8422242999076843,0.3617756962776184
240	-0.23164799809455872,-1.2472416162490845,-2.267407178878784,-3.051962375640869,-3.2052767276763916	3.77,-0.010000000000000009,3.438592666603277	-23.561041057109833,-124.0536093711853,-225.88727474212646,-304.8609495162964,-320.6191301345825	1.1664904356002808,1.1769124269485474,1.1618380546569824,0.8464064598083496,0.3653351962566376
240	-0.23561041057109833,-1.240536093711853,-2.2588727474212646,-3.048609495162964,-3.206191301345825	3.73,-0.012499999999999956,3.4818301573423627	-24.109680950641632,-123.80975484848022,-225.0338315963745,-304.4951915740967,-320.71056365966797	1.159776210784912,1.1730173826217651,1.1664572954177856,0.8556001782417297,0.3701760768890381
240	-0.24109680950641632,-1.2380975484848022,-2.250338315963745,-3.044951915740967,-3.2071056365966797	3.68,-0.010000000000000009,3.516101862439366	-24.65832084417343,-123.90120029449463,-224.39377307891846,-304.129433631897,-320.6800699234009	1.156103253364563,1.1682816743850708,1.167178750038147,0.86625736951828,0.37369880080223083
240	-0.24658320844173431,-1.2390120029449463,-2.2439377307891846,-3.0412943363189697,-3.206800699234009	3.64,-0.012500000000000067,3.5693374695415225	-25.298398733139038,-124.14504289627075,-224.02799129486084,-303.7332057952881,-320.6800699234009	1.1506285667419434,1.1636401414871216,1.165621280670166,0.8730038404464722,0.37933170795440674
240	-0.2529839873313904,-1.2414504289627075,-2.2402799129486084,-3.037332057952881,-3.206800699234009	3.59,-0.012499999999999956,3.6086826103389065	-25.999438762664795,-124.57175254821777,-223.9060878753662,-303.489351272583,-320.58863639831543	1.1460108757019043,1.1592824459075928,1.1626694202423096,0.8793219327926636,0.38330078125
240	-0.25999438762664795,-1.2457175254821777,-2.239060878753662,-3.03489351272583,-3.2058863639831543	3.54,0.0,3.6525761866221877	-26.243281364440918,-125.08991956710815,-223.99752140045166,-303.3064842224121,-320.58863639831543	1.1500372886657715,1.1542607545852661,1.1593619585037231,0.8813687562942505,0.3879740238189697
240	-0.2624328136444092,-1.2508991956710815,-2.2399752140045166,-3.033064842224121,-3.2058863639831543	3.54,0.0050000000000000044,3.666803525171938	-26.151838898658752,-125.54712295532227,-224.24135208129883,-303.3064842224121,-320.52767276763916	1.1550267934799194,1.1520549058914185,1.155015230178833,0.8832647800445557,0.38926976919174194
240	-0.2615183889865875,-1.2554712295532227,-2.2424135208129883,-3.033064842224121,-3.2052767276763916	3.56,0.0050000000000000044,3.6679368614357633	-25.9689599275589,-125.82143545150757,-224.57664012908936,-303.3674478530884,-320.4362392425537	1.15847909450531,1.1529622077941895,1.1509947776794434,0.881895899772644,0.3890893757343292
240	-0.259689599275589,-1.2582143545150757,-2.2457664012908936,-3.033674478530884,-3.204362392425537	3.58,0.0050000000000000044,3.6717653952036726	-25.725120306015015,-125.8824110031128,-224.91192817687988,-303.45890522003174,-320.4362392425537	1.1608983278274536,1.1545437574386597,1.1491878032684326,0.8780959248542786,0.38951385021209717
240	-0.25725120306015015,-1.258824110031128,-2.249119281768799,-3.0345890522003174,-3.204362392425537	3.6,0.0050000000000000044,3.655947537404575	-25.450798869132996,-125.82143545150757,-225.15575885772705,-303.64177227020264,-320.4362392425537	1.162788987159729,1.1566669940948486,1.1485083103179932,0.8757758140563965,0.3878163695335388
240	-0.25450798869132996,-1.2582143545150757,-2.2515575885772705,-3.0364177227020264,-3.204362392425537	3.62,0.01749999999999996,3.6369245734432796	-24.719280004501343,-125.69952011108398,-225.30817985534668,-303.76367568969727,-320.4362392425537	1.1730324029922485,1.1585495471954346,1.149427056312561,0.8724936842918396,0.38580116629600525
240	-0.24719280004501343,-1.2569952011108398,-2.253081798553467,-3.0376367568969727,-3.204362392425537	3.69,0.022499999999999964,3.626622597865261	-23.65248054265976,-125.39471387863159,-225.33864974975586,-303.8551092147827,-320.49720287323	1.183688759803772,1.1636698246002197,1.1506575345993042,0.8699661493301392,0.3849291503429413
240	-0.2365248054265976,-1.253947138786316,-2.2533864974975586,-3.038551092147827,-3.2049720287323	3.78,0.022500000000000075,3.5909832632248673	-22.463759779930115,-124.78511333465576,-225.2471923828125,-303.97703647613525,-320.37527561187744	1.1918716430664062,1.1706207990646362,1.15250825881958,0.8704958558082581,0.38073480129241943
240	-0.22463759779930115,-1.2478511333465576,-2.252471923828125,-3.0397703647613525,-3.2037527561187744	3.87,0.022499999999999964,3.5959398512489753	-21.21407985687256,-123.93168210983276,-225.00336170196533,-303.8856029510498,-320.4362392425537	1.198624849319458,1.1788667440414429,1.1573089361190796,0.8675431609153748,0.38145172595977783
240	-0.21214079856872559,-1.2393168210983276,-2.2500336170196533,-3.038856029510498,-3.204362392425537	3.96,0.02499999999999991,3.5693218622694003	-19.872960448265076,-122.92584180831909,-224.5156764984131,-303.8551092147827,-320.2533721923828	1.206449270248413,1.1862456798553467,1.1628347635269165,0.8711147308349609,0.3780311048030853
240	-0.19872960448265076,-1.229258418083191,-2.245156764984131,-3.038551092147827,-3.202533721923828	4.06,0.022500000000000187,3.5938503076530304	-18.592800199985504,-121.79808616638184,-223.84512424468994,-303.5503149032593,-320.2838659286499	1.211879849433899,1.1943539381027222,1.170107126235962,0.8712033033370972,0.38077259063720703
240	-0.18592800199985504,-1.2179808616638184,-2.2384512424468994,-3.0355031490325928,-3.202838659286499	4.15,0.014999999999999902,3.5974944212695545	-17.556479573249817,-120.57888507843018,-222.9612112045288,-303.275990486145,-320.1009511947632	1.2123050689697266,1.2010701894760132,1.1769318580627441,0.8787796497344971,0.38053062558174133
240	-0.17556479573249817,-1.2057888507843018,-2.229612112045288,-3.03275990486145,-3.201009511947632	4.21,-0.020000000000000018,3.6536592156121968	-17.86128133535385,-119.42063570022583,-221.95537090301514,-302.7883291244507,-320.16191482543945	1.1941213607788086,1.2064112424850464,1.1847213506698608,0.8835602402687073,0.3867500424385071
240	-0.1786128133535385,-1.1942063570022583,-2.2195537090301514,-3.027883291244507,-3.2016191482543945	4.13,-0.01750000000000007,3.7005218131699884	-18.562321364879608,-118.75008344650269,-220.8580732345581,-302.30064392089844,-320.1009511947632	1.185062050819397,1.2022082805633545,1.19098699092865,0.8946005702018738,0.3915327787399292
240	-0.18562321364879608,-1.1875008344650269,-2.208580732345581,-3.0230064392089844,-3.201009511947632	4.06,-0.019999999999999907,3.826024022233703	-19.50719952583313,-118.65863800048828,-219.9131965637207,-301.6605615615845,-320.52767276763916	1.1767297983169556,1.1966280937194824,1.195014476776123,0.9024885892868042,0.4061483144760132
240	-0.1950719952583313,-1.1865863800048828,-2.199131965637207,-3.0166056156158447,-3.2052767276763916	3.98,-0.01749999999999996,3.859567199814425	-20.421600341796875,-118.93296241760254,-219.21215057373047,-301.35576725006104,-320.4667329788208	1.1705963611602783,1.1883190870285034,1.1921441555023193,0.9204738140106201,0.4095565378665924
240	-0.20421600341796875,-1.1893296241760254,-2.1921215057373047,-3.0135576725006104,-3.204667329788208	3.91,-0.020000000000000018,3.9708031406221913	-21.518878638744354,-119.4815993309021,-218.93784999847412,-300.8680820465088,-320.8019971847534	1.1641212701797485,1.1825382709503174,1.1891200542449951,0.9248788952827454,0.4224731922149658
240	-0.21518878638744354,-1.194815993309021,-2.189378499984741,-3.008680820465088,-3.208019971847534	3.83,-0.01750000000000007,3.9832092367646785	-22.524720430374146,-120.21312713623047,-218.93784999847412,-300.8375883102417,-320.71056365966797	1.1589306592941284,1.1752026081085205,1.1831659078598022,0.9362501502037048,0.42343786358833313
240	-0.22524720430374146,-1.2021312713623047,-2.189378499984741,-3.008375883102417,-3.2071056365966797	3.76,-0.019999999999999907,4.0	-23.622000217437744,-121.03607654571533,-219.24264430999756,-300.74615478515625,-320.6191301345825	1.1518278121948242,1.1690267324447632,1.1777600049972534,0.9361381530761719,0.4249321222305298
240	-0.23622000217437744,-1.2103607654571533,-2.1924264430999756,-3.0074615478515625,-3.206191301345825	3.68,-0.10999999999999999,4.0	-28.1330406665802,-121.92000150680542,-219.7303295135498,-300.80714225769043,-320.4667329788208	1.0815420150756836,1.1637948751449585,1.1723288297653198,0.9344132542610168,0.4244110584259033
240	-0.281330406665802,-1.2192000150680542,-2.197303295135498,-3.0080714225769043,-3.204667329788208	3.24,-0.11250000000000004,4.0	-33.98520052433014,-123.84024858474731,-220.40088176727295,-300.92904567718506,-320.40576934814453	1.0160253047943115,1.1385478973388672,1.1673591136932373,0.9295511841773987,0.42420291900634766
240	-0.3398520052433014,-1.2384024858474731,-2.2040088176727295,-3.0092904567718506,-3.2040576934814453	2.79,-0.10999999999999999,4.0	-40.78224301338196,-127.16256380081177,-221.37625217437744,-301.1728763580322,-320.49720287323	0.9518700242042542,1.101339340209961,1.1566990613937378,0.9235725402832031,0.4245152771472931
240	-0.4078224301338196,-1.2716256380081177,-2.2137625217437744,-3.0117287635803223,-3.2049720287323	2.35,-0.11000000000000004,4.0	-49.13375973701477,-131.52120113372803,-223.1745719909668,-301.569128036499,-320.74103355407715	0.8895100951194763,1.0560567378997803,1.1371017694473267,0.916463315486908,0.42534974217414856
240	-0.4913375973701477,-1.3152120113372803,-2.231745719909668,-3.0156912803649902,-3.2074103355407715	1.91,-0.11249999999999999,4.0	-58.73495936393738,-136.79423332214355,-225.79584121704102,-302.3616075515747,-321.2287187576294	0.8095656633377075,0.9992045760154724,1.1101664304733276,0.9045458436012268,0.4270261526107788
240	-0.5873495936393738,-1.3679423332214355,-2.25795841217041,-3.023616075515747,-3.212287187576294	1.46,0.0050000000000000044,4.0	-62.087756395339966,-142.7988052368164,-229.33151721954346,-303.61130237579346,-322.1431255340576	0.8761109113693237,0.9537809491157532,1.075002670288086,0.886406660079956,0.430196613073349
240	-0.6208775639533997,-1.427988052368164,-2.2933151721954346,-3.0361130237579346,-3.221431255340576	1.48,0.012500000000000011,3.624632760375763	-62.57544159889221,-149.04719591140747,-233.65967273712158,-305.9582471847534,-321.0458517074585	0.9145159125328064,0.929789125919342,1.0241655111312866,0.8764842748641968,0.38642174005508423
240	-0.6257544159889221,-1.4904719591140747,-2.336596727371216,-3.059582471847534,-3.210458517074585	1.53,0.012500000000000011,3.1792226964966734	-62.148720026016235,-153.71065139770508,-238.47551345825195,-307.6956033706665,-319.0951108932495	0.9364507794380188,0.9194365739822388,0.9778358340263367,0.8262514472007751,0.33360755443573
240	-0.6214872002601624,-1.5371065139770508,-2.3847551345825195,-3.076956033706665,-3.190951108932495	1.58,0.010000000000000009,3.0588519243389816	-61.66104078292847,-157.12441205978394,-242.9560899734497,-308.54904651641846,-318.9122438430786	0.9509657025337219,0.9247457385063171,0.9646617770195007,0.7397953867912292,0.320545494556427
240	-0.6166104078292847,-1.5712441205978394,-2.429560899734497,-3.0854904651641846,-3.189122438430786	1.62,0.012499999999999956,2.7901204969761384	-60.74663996696472,-159.01416540145874,-247.1318483352661,-310.28640270233154,-318.42455863952637	0.962938129901886,0.9283955097198486,0.9487084746360779,0.6956213116645813,0.29122039675712585
240	-0.6074663996696472,-1.5901416540145874,-2.471318483352661,-3.1028640270233154,-3.1842455863952637	1.67,0.012500000000000011,2.612351191670486	-59.832245111465454,-159.98952388763428,-250.85039138793945,-311.3227128982544,-318.5769557952881	0.974345862865448,0.938770055770874,0.9399695992469788,0.6380569338798523,0.2729727327823639
240	-0.5983224511146545,-1.5998952388763428,-2.5085039138793945,-3.113227128982544,-3.185769557952881	1.72,0.04749999999999999,2.4006042393517557	-56.90615773200989,-160.2333664894104,-253.8374423980713,-312.4809503555298,-318.63794326782227	1.0235493183135986,0.9480234384536743,0.9347593784332275,0.6007115840911865,0.25104397535324097
240	-0.5690615773200989,-1.602333664894104,-2.538374423980713,-3.124809503555298,-3.1863794326782227	1.91,0.09249999999999997,2.1985163008820217	-51.02351903915405,-159.7761631011963,-256.00152015686035,-313.3648872375488,-318.63794326782227	1.0979771614074707,0.9648400545120239,0.9331743717193604,0.5642695426940918,0.22992321848869324
240	-0.5102351903915405,-1.597761631011963,-2.5600152015686035,-3.1336488723754883,-3.1863794326782227	2.28,0.09000000000000008,1.9912601655058426	-44.47031915187836,-157.76448249816895,-257.43408203125,-313.9744758605957,-318.3940887451172	1.1362472772598267,1.0037870407104492,0.9356706142425537,0.5335124135017395,0.2077702283859253
240	-0.44470319151878357,-1.5776448249816895,-2.5743408203125,-3.139744758605957,-3.183940887451172	2.64,0.08999999999999997,1.8299504826220834	-37.79520094394684,-153.86303663253784,-258.0436706542969,-314.09640312194824,-318.11976432800293	1.159125804901123,1.0568163394927979,0.9471818208694458,0.5039108991622925,0.19055166840553284
240	-0.3779520094394684,-1.5386303663253784,-2.5804367065429688,-3.1409640312194824,-3.1811976432800293	3.0,0.08999999999999997,1.776277425238145	-32.247838377952576,-148.65095615386963,-257.37314224243164,-313.91351222991943,-318.11976432800293	1.192197561264038,1.1034173965454102,0.9777018427848816,0.482195109128952,0.18492887914180756
240	-0.32247838377952576,-1.4865095615386963,-2.5737314224243164,-3.1391351222991943,-3.1811976432800293	3.36,0.08250000000000002,1.913253977524055	-27.432000637054443,-142.8902506828308,-255.11760711669922,-313.608717918396,-319.0951108932495	1.2195721864700317,1.1364765167236328,1.0244616270065308,0.47647327184677124,0.20075219869613647
240	-0.27432000637054443,-1.428902506828308,-2.551176071166992,-3.13608717918396,-3.190951108932495	3.69,-0.03749999999999998,1.9330177947057454	-27.096721529960632,-136.6113543510437,-251.21614933013916,-313.9744758605957,-319.58279609680176	1.1641883850097656,1.1651644706726074,1.0650668144226074,0.511288583278656,0.20364516973495483
240	-0.2709672152996063,-1.366113543510437,-2.5121614933013916,-3.139744758605957,-3.1958279609680176	3.54,-0.03500000000000003,2.0292946044156825	-28.19400131702423,-132.2527289390564,-246.27840518951416,-313.4258508682251,-320.3143119812012	1.1360665559768677,1.1745553016662598,1.1001384258270264,0.5408185124397278,0.21501858532428741
240	-0.2819400131702423,-1.322527289390564,-2.4627840518951416,-3.134258508682251,-3.2031431198120117	3.4,-0.03500000000000003,2.149958098613428	-29.778960347175598,-130.3324818611145,-240.79201221466064,-312.6638650894165,-320.8629846572876	1.1148512363433838,1.1614652872085571,1.124353051185608,0.5905954837799072,0.22885020077228546
240	-0.297789603471756,-1.303324818611145,-2.4079201221466064,-3.126638650894165,-3.208629846572876	3.26,-0.03749999999999998,2.3015601964219097	-31.699198484420776,-129.87529039382935,-236.03711128234863,-311.4751100540161,-321.1677551269531	1.0942884683609009,1.1438826322555542,1.135419487953186,0.646954357624054,0.24563254415988922
240	-0.31699198484420776,-1.2987529039382935,-2.3603711128234863,-3.114751100540161,-3.2116775512695312	3.11,-0.03499999999999992,2.520003428215931	-33.680400252342224,-130.42391538619995,-233.32440853118896,-310.1340055465698,-321.4116096496582	1.0766969919204712,1.1269508600234985,1.1453953981399536,0.6962924599647522,0.26942408084869385
240	-0.33680400252342224,-1.3042391538619995,-2.3332440853118896,-3.1013400554656982,-3.214116096496582	2.97,-0.03750000000000009,2.6975763705892013	-35.783520340919495,-131.52120113372803,-231.86135292053223,-308.91480445861816,-321.35064601898193	1.055781602859497,1.1093671321868896,1.1387686729431152,0.7464423179626465,0.28831279277801514
240	-0.35783520340919495,-1.3152120113372803,-2.3186135292053223,-3.0891480445861816,-3.2135064601898193	2.82,-0.03499999999999992,2.8276763344411084	-37.85615861415863,-132.9842448234558,-231.43463134765625,-307.96992778778076,-320.8019971847534	1.036299228668213,1.0909429788589478,1.12643301486969,0.775909960269928,0.3008699417114258
240	-0.3785615861415863,-1.329842448234558,-2.3143463134765625,-3.0796992778778076,-3.208019971847534	2.68,-0.03750000000000009,2.9871541625083324	-40.44696092605591,-134.69113111495972,-231.76991939544678,-307.26890563964844,-320.58863639831543	1.0193992853164673,1.0724999904632568,1.1129202842712402,0.7854013442993164,0.3172401189804077
240	-0.4044696092605591,-1.3469113111495972,-2.3176991939544678,-3.0726890563964844,-3.2058863639831543	2.53,-0.03499999999999992,3.0418758851469905	-43.190163373947144,-136.58088445663452,-232.59289264678955,-307.146954536438,-320.1314449310303	1.0068978071212769,1.0509679317474365,1.0962640047073364,0.7916707992553711,0.3218952417373657
240	-0.43190163373947144,-1.3658088445663452,-2.3259289264678955,-3.07146954536438,-3.2013144493103027	2.39,-0.03749999999999998,3.1372008962759823	-46.238160133361816,-138.68401050567627,-233.8425636291504,-307.0859909057617,-320.2533721923828	0.9928891062736511,1.0340229272842407,1.0797778367996216,0.781578004360199,0.3322734236717224
240	-0.46238160133361816,-1.3868401050567627,-2.338425636291504,-3.070859909057617,-3.202533721923828	2.24,-0.03500000000000003,3.108553870642151	-49.225202202796936,-140.87857007980347,-235.39705276489258,-307.6651096343994,-320.1009511947632	0.9797107577323914,1.0212215185165405,1.059975266456604,0.778458833694458,0.3289044201374054
240	-0.49225202202796936,-1.4087857007980347,-2.353970527648926,-3.076651096343994,-3.201009511947632	2.1,-0.025000000000000022,3.0687648358325688	-51.72455906867981,-143.3779239654541,-237.10391521453857,-308.21378231048584,-320.1314449310303	0.9749729633331299,1.0096864700317383,1.0407366752624512,0.7610695362091064,0.3247523605823517
240	-0.5172455906867981,-1.433779239654541,-2.3710391521453857,-3.0821378231048584,-3.2013144493103027	2.0,0.022499999999999964,2.949605022774495	-51.45024061203003,-145.96872329711914,-238.87176513671875,-309.0367317199707,-319.8571443557739	1.0139907598495483,0.9978333115577698,1.0258716344833374,0.7451314926147461,0.31147313117980957
240	-0.5145024061203003,-1.4596872329711914,-2.3887176513671875,-3.090367317199707,-3.1985714435577393	2.09,0.025000000000000022,2.8561090311925836	-50.13960003852844,-148.07183742523193,-240.8834457397461,-309.67679023742676,-319.79615688323975	1.0382426977157593,0.9985321760177612,1.0155404806137085,0.7189362645149231,0.3014005720615387
240	-0.5013960003852844,-1.4807183742523193,-2.408834457397461,-3.0967679023742676,-3.1979615688323975	2.19,0.025000000000000022,2.7060534547728765	-48.432719707489014,-149.0776777267456,-242.9560899734497,-310.4083299636841,-319.46089267730713	1.0539158582687378,1.0082234144210815,1.0050214529037476,0.6986907720565796,0.28480368852615356
240	-0.48432719707489014,-1.490776777267456,-2.429560899734497,-3.104083299636841,-3.1946089267730713	2.29,0.022499999999999964,2.651646449035539	-46.725839376449585,-149.19960498809814,-244.81534957885742,-310.7740879058838,-319.64378356933594	1.0638086795806885,1.0241506099700928,1.0017021894454956,0.6686267256736755,0.2795298993587494
240	-0.46725839376449585,-1.4919960498809814,-2.448153495788574,-3.107740879058838,-3.1964378356933594	2.38,0.025000000000000022,2.55601588742962	-44.8360800743103,-148.55952262878418,-246.2174415588379,-311.5056037902832,-319.6742296218872	1.0738050937652588,1.0370676517486572,1.0035845041275024,0.6531105637550354,0.269476979970932
240	-0.448360800743103,-1.4855952262878418,-2.462174415588379,-3.115056037902832,-3.196742296218872	2.48,0.025000000000000022,2.4833474368430726	-42.88536012172699,-147.4622368812561,-246.94898128509521,-312.02378273010254,-319.8875904083252	1.081621527671814,1.0498672723770142,1.008662462234497,0.6348811388015747,0.2622293531894684
240	-0.4288536012172699,-1.474622368812561,-2.469489812850952,-3.1202378273010254,-3.198875904083252	2.58,0.022499999999999964,2.408447630620195	-41.0260796546936,-146.02967500686646,-247.1318483352661,-312.4505043029785,-320.0705051422119	1.085988998413086,1.0608891248703003,1.018215537071228,0.6249239444732666,0.2546824812889099
240	-0.41026079654693604,-1.4602967500686646,-2.471318483352661,-3.124505043029785,-3.200705051422119	2.67,0.025000000000000022,2.3355132344727147	-39.044880867004395,-144.4447159767151,-246.73562049865723,-312.6638650894165,-320.1314449310303	1.0914959907531738,1.0702605247497559,1.028235912322998,0.6194491982460022,0.24718846380710602
240	-0.39044880867004395,-1.4444471597671509,-2.4673562049865723,-3.126638650894165,-3.2013144493103027	2.77,0.025000000000000022,2.3123881503489008	-37.216079235076904,-142.70737171173096,-245.91264724731445,-312.6028776168823,-320.2838659286499	1.0987859964370728,1.0781899690628052,1.0393517017364502,0.616790771484375,0.24494878947734833
240	-0.37216079235076904,-1.4270737171173096,-2.4591264724731445,-3.1260287761688232,-3.202838659286499	2.87,0.025000000000000022,2.2987496585198697	-35.63112020492554,-140.9090518951416,-244.78487968444824,-312.4809503555298,-320.2838659286499	1.1094233989715576,1.0850205421447754,1.0496225357055664,0.6229566931724548,0.24357150495052338
240	-0.35631120204925537,-1.409090518951416,-2.4478487968444824,-3.124809503555298,-3.202838659286499	2.97,0.022499999999999964,2.346881597556747	-34.22904014587402,-139.04975652694702,-243.38281154632568,-312.14568614959717,-320.49720287323	1.118712306022644,1.0905919075012207,1.0592247247695923,0.6296694874763489,0.2490842044353485
240	-0.34229040145874023,-1.3904975652694702,-2.433828115463257,-3.1214568614959717,-3.2049720287323	3.06,0.025000000000000022,2.372757574412628	-32.796478271484375,-137.16000318527222,-241.79785251617432,-311.9018316268921,-320.49720287323	1.1304433345794678,1.0987458229064941,1.0665581226348877,0.6459718346595764,0.25184351205825806
240	-0.32796478271484375,-1.3716000318527222,-2.417978525161743,-3.119018316268921,-3.2049720287323	3.16,0.0024999999999999467,2.453593171918473	-32.247838377952576,-135.4836106300354,-240.0909662246704,-311.38367652893066,-320.71056365966797	1.1246651411056519,1.1124753952026367,1.0736823081970215,0.6578410267829895,0.26088792085647583
240	-0.32247838377952576,-1.354836106300354,-2.400909662246704,-3.1138367652893066,-3.2071056365966797	3.17,-0.010000000000000009,2.4911945319404327	-32.40023851394653,-134.11200046539307,-238.23168277740479,-311.04841232299805,-320.6191301345825	1.1130012273788452,1.118661642074585,1.0790774822235107,0.6784483790397644,0.2646263539791107
240	-0.32400238513946533,-1.3411200046539307,-2.382316827774048,-3.1104841232299805,-3.206191301345825	3.13,-0.010000000000000009,2.597746216640014	-32.82696008682251,-133.35000276565552,-236.58576011657715,-310.4083299636841,-320.8629846572876	1.1058605909347534,1.1186926364898682,1.0969431400299072,0.6918290257453918,0.276536226272583
240	-0.3282696008682251,-1.3335000276565552,-2.3658576011657715,-3.104083299636841,-3.208629846572876	3.09,-0.012499999999999956,2.65041266971516	-33.406078815460205,-133.04519653320312,-235.1836919784546,-309.92064476013184,-320.74103355407715	1.0975292921066284,1.1138863563537598,1.1059507131576538,0.7164664268493652,0.28179407119750977
240	-0.33406078815460205,-1.3304519653320312,-2.351836919784546,-3.0992064476013184,-3.2074103355407715	3.04,-0.010000000000000009,2.7610501201501343	-34.015682339668274,-133.13664197921753,-234.23879146575928,-309.15863513946533,-320.8629846572876	1.0931695699691772,1.1089509725570679,1.1102296113967896,0.7321557402610779,0.2938862442970276
240	-0.34015682339668274,-1.3313664197921753,-2.3423879146575928,-3.0915863513946533,-3.208629846572876	3.0,-0.007499999999999951,2.824554090383713	-34.47288274765015,-133.41095447540283,-233.6292028427124,-308.73191356658936,-320.6800699234009	1.089815616607666,1.1026500463485718,1.1087852716445923,0.7522324919700623,0.3002556264400482
240	-0.34472882747650146,-1.3341095447540283,-2.336292028427124,-3.0873191356658936,-3.206800699234009	2.97,0.0050000000000000044,2.9164501300117216	-34.44240093231201,-133.80719423294067,-233.38537216186523,-308.244252204895,-320.6496238708496	1.096663475036621,1.097846269607544,1.1057227849960327,0.7605284452438354,0.30985164642333984
240	-0.3444240093231201,-1.3380719423294067,-2.3338537216186523,-3.08244252204895,-3.206496238708496	2.99,0.007499999999999951,2.961089308931937	-34.1376006603241,-134.0815305709839,-233.38537216186523,-308.0613851547241,-320.4667329788208	1.1025283336639404,1.0958571434020996,1.1007932424545288,0.769004762172699,0.31417015194892883
240	-0.34137600660324097,-1.3408153057098389,-2.3338537216186523,-3.080613851547241,-3.204667329788208	3.02,0.007499999999999951,3.0060584990389776	-33.77184271812439,-134.17296409606934,-233.56823921203613,-307.9089641571045,-320.4362392425537	1.1072994470596313,1.0980929136276245,1.0972414016723633,0.7699818015098572,0.3188666105270386
240	-0.3377184271812439,-1.3417296409606934,-2.3356823921203613,-3.079089641571045,-3.204362392425537	3.05,0.007500000000000062,3.0120497198058733	-33.34512114524841,-134.0510368347168,-233.72066020965576,-307.9394340515137,-320.3143119812012	1.110974907875061,1.1007803678512573,1.0949970483779907,0.771263599395752,0.3191899061203003
