4
4
1 2
4
18	
8	15   0.04
1	18   0.08
0	8.8849
4.572	8.2144
6.6142	7.6657
10.0584	7.7876
12.893	8.1534
16.8554	8.2753
20.1473	8.001
23.8963	7.6048
25.7556	7.0561
29.1694	6.4465
34.5948	6.2332
36.6674	6.5075
37.9689	7.0561
39.9593	7.3
41.5138	7.7572
42.5806	7.9705
45.9943	8.3363
49.53	8.824
35.05
28	
11	23 0.04
1	28 0.08
0	8.6594
3.7795	8.193
5.4864	7.7968
6.5837	7.8425
8.321	7.8821
10.668	8.1351
10.6985	8.1351
13.9294	8.1321
13.9903	8.126
16.6726	7.9004
19.751	7.5773
21.5189	7.0531
21.6713	7.0256
24.2316	6.4922
24.8107	6.4038
29.9923	6.1631
32.4917	6.3856
32.7965	6.4679
34.1071	6.8092
34.9301	6.8793
36.5455	7.1384
36.6979	7.1811
38.4658	7.6474
39.4716	7.8242
41.7271	8.0498
42.733	8.2022
43.5254	8.3454
46.0553	8.7051
35.05
28	
11	23 0.04
1	28 0.08
0	8.4338
2.987	8.1686
4.3282	7.9278
5.2121	7.9705
6.5532	7.9766
8.4125	8.1168
8.443	8.1168
11.0033	7.9858
11.0642	7.9797
13.1674	7.7998
15.6058	7.5499
17.3126	7.0531
17.4346	7.0195
19.873	6.4313
20.4216	6.3612
25.3594	6.093
28.3464	6.2667
28.7122	6.3246
30.2362	6.5654
31.2115	6.6172
33.1013	6.9738
33.3146	7.0226
35.3873	7.5377
36.3322	7.6749
38.4962	7.876
39.4411	8.0681
40.2031	8.2357
42.611	8.5893
38.1
27	
10	22 0.04
1	27 0.08
0	8.2113
2.1946	8.1473
3.1699	8.0589
3.81	8.1016
4.8158	8.0711
6.1874	8.0985
8.0772	7.8425
8.1077	7.8364
9.6622	7.7023
11.4605	7.5255
13.0759	7.05
13.1978	7.0134
15.5143	6.3703
16.0325	6.3155
20.7264	6.0198
24.1706	6.1448
24.5974	6.1783
26.3652	6.3185
27.493	6.3581
29.6875	6.8123
29.9009	6.8641
32.3393	7.4249
33.2232	7.5286
35.2349	7.7023
36.1493	7.9309
36.8503	8.126
39.1363	8.4704
32.00
16	
5	12 0.04
1	16 0.08
0	7.9858
2.4384	8.2296
3.9624	8.0772
5.1816	7.6901
7.3152	7.4981
8.9611	7.0104
11.1557	6.3094
16.0934	5.9497
20.4826	6.035
23.7744	6.096
26.5176	6.7056
29.2608	7.3152
32.004	7.5286
33.528	8.0162
35.6616	8.3515
0.9144	8.0467
2 3
7
33	
13	28 0.04
1	33 0.08
1.0058	7.5042
1.2192	7.6871
1.8898	7.4737
2.347	7.5347
3.048	7.4737
4.1148	7.5042
5.0292	7.3213
6.096	7.4127
7.1933	7.4127
8.3515	7.3823
9.5402	7.5316
10.4546	7.6657
11.43	7.2908
13.335	6.7666
14.7523	6.5898
15.5524	6.3337
17.0383	6.2179
18.227	6.0411
18.9128	5.8887
19.2786	5.8887
19.5986	6.0107
19.7358	5.9802
20.2844	6.285
20.6959	6.8031
21.0617	6.9555
22.5704	7.1689
23.8049	7.4127
24.8107	7.4127
25.7556	7.5956
26.67	7.809
27.5539	8.1138
28.3769	8.4795
29.1084	8.9063
39.62
56	
18	45 0.04
1	56 0.08
0.7925	8.0742
0.8839	7.6017
1.0668	7.748
1.7374	7.5255
2.1336	7.5499
2.1641	7.5529
2.6518	7.4706
2.8651	7.4493
3.8405	7.4493
3.9014	7.4524
4.7854	7.2969
5.4559	7.3487
5.8217	7.3792
6.8885	7.3792
7.1933	7.3731
8.0162	7.3579
9.1745	7.4889
10.0584	7.6078
10.9728	7.1872
11.1557	7.1232
12.3139	6.794
12.7711	6.669
13.3502	6.5928
14.1122	6.4953
14.8742	6.2606
15.2705	6.2271
15.5143	6.1874
16.2763	6.1265
17.4041	5.968
18.0442	5.8339
18.349	5.8339
18.6842	5.9436
18.8366	5.9192
19.4158	6.1874
19.6901	6.4648
19.873	6.6355
20.2692	6.7727
20.3302	6.7818
20.9093	6.8519
20.9398	6.858
21.4579	6.9494
21.5494	6.9769
21.8542	7.0317
22.4942	7.1689
23.1953	7.3304
23.8049	7.3457
24.2316	7.3548
24.3535	7.3548
24.4145	7.367
25.0241	7.4524
25.4508	7.5194
25.6337	7.556
26.4871	7.7236
27.5234	8.0071
28.4683	8.3393
29.2913	8.7234
39.62
56	
18	45 0.04
1	56 0.08
0.6401	8.0985
0.7315	7.7023
0.9449	7.809
1.585	7.5804
1.9812	7.5743
2.0117	7.5682
2.4689	7.4493
2.6822	7.428
3.5966	7.3975
3.6881	7.3975
4.5415	7.2725
5.1816	7.3182
5.5474	7.3426
6.5837	7.3487
6.8885	7.3426
7.681	7.3335
8.8087	7.4463
9.6622	7.5468
10.5461	7.0836
10.6985	7.0074
11.7653	6.6873
12.2225	6.5715
12.7711	6.4983
13.4722	6.4008
14.2037	6.1905
14.5694	6.1509
14.7828	6.093
15.5143	6.0381
16.5506	5.8979
17.1602	5.779
17.4346	5.779
17.8003	5.8735
17.9527	5.8552
18.5623	6.0899
18.8671	6.3246
19.05	6.4709
19.4462	6.5867
19.5377	6.5989
20.1473	6.6599
20.1778	6.6721
20.7264	6.7879
20.8178	6.8275
21.1531	6.8976
21.8542	7.0531
22.5552	7.2512
23.2562	7.2756
23.7439	7.2969
23.8963	7.2969
23.9573	7.3061
24.6278	7.3792
25.1155	7.4432
