1	0	0
1	35.05	0
1	70.1	0
1	108.2	0
1	140.21	0
2	0	0
2	39.62	0
2	79.25	0
2	124.97	0
2	169.16	0
2	201.17	0
2	237.74	0
2	277.37	0
3	0	0
3	51.82	0
3	106.68	0
3	154.84	0
3	211.23	0
3	267.61	0
3	322.48	0
3	379.48	0
3	437.39	0
4	0	0
4	47.24	0
4	89.92	0
4	141.73	0
1	0	60
1	35.05	60
1	70.1	60
1	108.2	60
1	140.21	60
2	0	60
2	39.62	60
2	79.25	60
2	124.97	60
2	169.16	60
2	201.17	60
2	237.74	60
2	277.37	60
3	0	60
3	51.82	60
3	106.68	60
3	154.84	60
3	211.23	60
3	267.61	60
3	322.48	60
3	379.48	60
3	437.39	60
4	0	60
4	47.24	60
4	89.92	60
4	141.73	60
1	0	120
1	35.05	120
1	70.1	120
1	108.2	120
1	140.21	120
2	0	120
2	39.62	120
2	79.25	120
2	124.97	120
2	169.16	120
2	201.17	120
2	237.74	120
2	277.37	120
3	0	120
3	51.82	120
3	106.68	120
3	154.84	120
3	211.23	120
3	267.61	120
3	322.48	120
3	379.48	120
3	437.39	120
4	0	120
4	47.24	120
4	89.92	120
4	141.73	120
1	0	180
1	35.05	180
1	70.1	180
1	108.2	180
1	140.21	180
2	0	180
2	39.62	180
2	79.25	180
2	124.97	180
2	169.16	180
2	201.17	180
2	237.74	180
2	277.37	180
3	0	180
3	51.82	180
3	106.68	180
3	154.84	180
3	211.23	180
3	267.61	180
3	322.48	180
3	379.48	180
3	437.39	180
4	0	180
4	47.24	180
4	89.92	180
4	141.73	180
1	0	240
1	35.05	240
1	70.1	240
1	108.2	240
1	140.21	240
2	0	240
2	39.62	240
2	79.25	240
2	124.97	240
2	169.16	240
2	201.17	240
2	237.74	240
2	277.37	240
3	0	240
3	51.82	240
3	106.68	240
3	154.84	240
3	211.23	240
3	267.61	240
3	322.48	240
3	379.48	240
3	437.39	240
4	0	240
4	47.24	240
4	89.92	240
4	141.73	240
1	0	300
1	35.05	300
1	70.1	300
1	108.2	300
1	140.21	300
2	0	300
2	39.62	300
2	79.25	300
2	124.97	300
2	169.16	300
2	201.17	300
2	237.74	300
2	277.37	300
3	0	300
3	51.82	300
3	106.68	300
3	154.84	300
3	211.23	300
3	267.61	300
3	322.48	300
3	379.48	300
3	437.39	300
4	0	300
4	47.24	300
4	89.92	300
4	141.73	300
1	0	360
1	35.05	360
1	70.1	360
1	108.2	360
1	140.21	360
2	0	360
2	39.62	360
2	79.25	360
2	124.97	360
2	169.16	360
2	201.17	360
2	237.74	360
2	277.37	360
3	0	360
3	51.82	360
3	106.68	360
3	154.84	360
3	211.23	360
3	267.61	360
3	322.48	360
3	379.48	360
3	437.39	360
4	0	360
4	47.24	360
4	89.92	360
4	141.73	360
1	0	420
1	35.05	420
1	70.1	420
1	108.2	420
1	140.21	420
2	0	420
2	39.62	420
2	79.25	420
2	124.97	420
2	169.16	420
2	201.17	420
2	237.74	420
2	277.37	420
3	0	420
3	51.82	420
3	106.68	420
3	154.84	420
3	211.23	420
3	267.61	420
3	322.48	420
3	379.48	420
3	437.39	420
4	0	420
4	47.24	420
4	89.92	420
4	141.73	420
1	0	480
1	35.05	480
1	70.1	480
1	108.2	480
1	140.21	480
2	0	480
2	39.62	480
2	79.25	480
2	124.97	480
2	169.16	480
2	201.17	480
2	237.74	480
2	277.37	480
3	0	480
3	51.82	480
3	106.68	480
