0.88		7.28
0.82		7.21
0.72		7.16
0.62		7.12
0.52		7.1
0.73		7.05
0.71		6.98
0.69		6.92
0.66		6.85
0.62		6.8
0.57		6.77
0.51		6.74
0.47		6.72
0.64		7.07
0.63		7.01
0.62		6.96
0.6		6.91
0.58		6.86
0.55		6.82
0.5		6.78
0.45		6.75
0.4		6.72
0.39		6.71
0.4		6.7
0.39		6.68
0.39		6.66
0.89		7.27
0.84		7.2
0.76		7.14
0.68		7.1
0.57		7.07
0.78		7.07
0.76		7
0.72		6.93
0.69		6.86
0.65		6.8
0.59		6.77
0.54		6.74
0.49		6.72
0.65		7.07
0.64		7.02
0.62		6.96
0.6		6.91
0.58		6.86
0.55		6.82
0.51		6.78
0.46		6.74
0.41		6.72
0.4		6.72
0.41		6.7
0.4		6.68
0.4		6.66
0.91		7.27
0.85		7.19
0.77		7.14
0.67		7.09
0.56		7.07
0.75		7.07
0.74		7
0.72		6.94
0.7		6.86
0.67		6.8
0.61		6.77
0.55		6.74
0.5		6.72
0.64		7.07
0.63		7.02
0.62		6.96
0.61		6.91
0.58		6.86
0.56		6.82
0.51		6.78
0.46		6.74
0.41		6.72
0.4		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.91		7.27
0.86		7.19
0.77		7.13
0.67		7.09
0.56		7.07
0.75		7.07
0.74		7
0.72		6.93
0.7		6.86
0.67		6.8
0.61		6.77
0.55		6.74
0.51		6.72
0.64		7.07
0.63		7.01
0.62		6.96
0.6		6.91
0.58		6.86
0.56		6.82
0.51		6.78
0.46		6.74
0.41		6.72
0.41		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.92		7.27
0.86		7.19
0.77		7.13
0.67		7.09
0.56		7.07
0.75		7.07
0.74		7
0.72		6.93
0.7		6.86
0.66		6.8
0.61		6.77
0.55		6.74
0.5		6.72
0.64		7.07
0.63		7.01
0.62		6.96
0.6		6.91
0.58		6.86
0.56		6.81
0.51		6.78
0.46		6.74
0.41		6.72
0.4		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.92		7.27
0.87		7.2
0.78		7.14
0.67		7.09
0.56		7.07
0.75		7.07
0.74		7
0.72		6.93
0.7		6.86
0.66		6.8
0.61		6.77
0.55		6.74
0.5		6.72
0.64		7.07
0.63		7.01
0.62		6.96
0.6		6.91
0.58		6.86
0.55		6.81
0.51		6.78
0.46		6.74
0.41		6.72
0.4		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.93		7.27
0.87		7.2
0.78		7.14
0.68		7.09
0.56		7.07
0.76		7.07
0.74		7
0.72		6.93
0.7		6.86
0.66		6.8
0.61		6.77
0.55		6.74
0.5		6.72
0.65		7.07
0.64		7.01
0.62		6.96
0.6		6.91
0.58		6.86
0.56		6.81
0.51		6.78
0.46		6.74
0.4		6.72
0.4		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.93		7.28
0.88		7.2
0.79		7.14
0.68		7.09
0.57		7.07
0.76		7.07
0.75		7
0.72		6.93
0.7		6.86
0.67		6.8
0.61		6.77
0.55		6.74
0.5		6.72
0.65		7.07
0.64		7.02
0.62		6.96
0.61		6.91
0.58		6.86
0.56		6.81
0.51		6.78
0.46		6.74
0.4		6.72
0.4		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.94		7.28
0.88		7.2
0.79		7.14
0.68		7.1
0.57		7.07
0.76		7.07
0.75		7
0.72		6.94
0.7		6.86
0.67		6.8
0.61		6.77
0.56		6.74
0.5		6.72
0.65		7.07
0.64		7.02
0.63		6.96
0.61		6.91
0.59		6.86
0.56		6.81
0.51		6.78
0.46		6.74
0.4		6.72
0.4		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.94		7.28
0.88		7.21
0.79		7.15
0.68		7.1
0.57		7.08
0.76		7.08
0.75		7.01
0.73		6.94
0.71		6.87
0.67		6.8
0.61		6.77
0.56		6.74
0.51		6.72
0.66		7.08
0.65		7.02
0.63		6.96
0.61		6.91
0.59		6.86
0.56		6.82
0.51		6.78
0.46		6.74
0.4		6.72
0.4		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.94		7.29
0.89		7.21
0.8		7.15
0.69		7.1
0.58		7.08
0.77		7.08
0.75		7.01
0.73		6.94
0.71		6.87
0.67		6.8
0.62		6.77
0.56		6.74
0.51		6.72
0.66		7.08
0.65		7.02
0.63		6.96
0.61		6.91
0.59		6.86
0.56		6.82
0.51		6.78
0.46		6.74
0.4		6.72
0.41		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.95		7.29
0.89		7.21
0.8		7.15
0.69		7.1
0.58		7.08
0.77		7.08
0.76		7.01
0.73		6.94
0.71		6.87
0.68		6.81
0.62		6.77
0.56		6.74
0.51		6.72
0.66		7.08
0.65		7.02
0.64		6.97
0.62		6.92
0.59		6.86
0.56		6.82
0.51		6.78
0.46		6.75
0.41		6.72
0.41		6.72
0.41		6.7
0.41		6.68
0.41		6.66
0.95		7.29
0.89		7.22
0.8		7.15
0.69		7.11
0.58		7.09
0.77		7.09
0.76		7.01
0.73		6.94
0.71		6.87
0.68		6.81
0.62		6.77
0.57		6.74
0.52		6.72
0.66		7.09
0.65		7.03
0.64		6.97
0.62		6.92
0.59		6.87
0.57		6.82
0.51		6.78
0.46		6.75
0.41		6.72
0.41		6.72
0.42		6.7
0.42		6.68
0.41		6.66
0.95		7.3
0.9		7.22
0.8		7.16
0.7		7.11
0.58		7.09
0.77		7.09
0.76		7.02
0.74		6.95
0.72		6.87
0.68		6.81
0.63		6.77
0.57		6.74
0.52		6.72
0.66		7.09
0.65		7.03
0.64		6.97
0.62		6.92
0.6		6.87
0.57		6.82
0.52		6.78
0.46		6.75
0.41		6.72
0.41		6.72
0.42		6.7
0.42		6.68
0.42		6.66
0.95		7.3
0.9		7.22
0.81		7.16
0.7		7.11
0.59		7.09
0.78		7.09
0.76		7.02
0.74		6.95
0.72		6.88
0.69		6.81
0.63		6.78
0.57		6.75
0.52		6.72
0.67		7.09
0.66		7.03
0.64		6.97
0.62		6.92
0.6		6.87
0.57		6.82
0.52		6.78
0.47		6.75
0.41		6.72
0.41		6.72
0.42		6.7
0.42		6.68
0.42		6.66
0.96		7.3
0.9		7.23
0.81		7.16
0.7		7.12
0.59		7.09
0.78		7.09
0.77		7.02
0.74		6.95
0.72		6.88
0.69		6.81
0.63		6.78
0.58		6.75
0.53		6.72
0.67		7.09
0.66		7.04
0.64		6.98
0.62		6.93
0.6		6.87
0.57		6.82
0.52		6.78
0.47		6.75
0.41		6.72
0.42		6.72
0.42		6.7
0.42		6.68
0.42		6.66
0.96		7.31
0.9		7.23
0.81		7.17
0.7		7.12
0.59		7.1
0.78		7.1
0.77		7.02
0.75		6.95
0.73		6.88
0.69		6.81
0.64		6.78
0.58		6.75
0.53		6.72
0.67		7.1
0.66		7.04
0.65		6.98
0.63		6.93
0.6		6.87
0.58		6.83
0.52		6.79
0.47		6.75
0.42		6.72
0.42		6.72
0.43		6.7
0.43		6.68
0.43		6.66
0.96		7.31
0.91		7.23
0.81		7.17
0.71		7.12
0.59		7.1
0.78		7.1
0.77		7.03
0.75		6.96
0.73		6.88
0.7		6.82
0.64		6.78
0.58		6.75
0.53		6.72
0.67		7.1
0.66		7.04
0.65		6.98
0.63		6.93
0.61		6.88
0.58		6.83
0.52		6.79
0.47		6.75
0.42		6.72
0.42		6.72
0.43		6.7
0.43		6.68
0.43		6.66
0.96		7.31
0.91		7.24
0.82		7.17
0.71		7.13
0.59		7.1
0.78		7.1
0.77		7.03
0.75		6.96
0.73		6.88
0.7		6.82
0.64		6.78
0.59		6.75
0.54		6.72
0.67		7.1
0.66		7.04
0.65		6.98
0.63		6.93
0.61		6.88
0.58		6.83
0.53		6.79
0.47		6.75
0.42		6.72
0.42		6.72
0.43		6.7
0.43		6.68
0.43		6.66
0.97		7.32
0.91		7.24
0.82		7.18
0.71		7.13
0.6		7.11
0.79		7.11
0.77		7.03
0.75		6.96
0.74		6.89
0.7		6.82
0.65		6.78
0.59		6.75
0.54		6.72
0.67		7.11
0.67		7.05
0.65		6.99
0.63		6.94
0.61		6.88
0.58		6.83
0.53		6.79
0.48		6.75
0.42		6.72
0.43		6.72
0.43		6.7
0.43		6.69
0.43		6.66
0.97		7.32
0.91		7.24
0.82		7.18
0.71		7.13
0.6		7.11
0.79		7.11
0.78		7.04
0.76		6.97
0.74		6.89
0.71		6.82
0.65		6.78
0.59		6.75
